id,wiek,plec,staz_pracy_lat,typ_instytucji,stanowisko,pyt1_korzysci_ai,pyt2_obawy_ai,pyt3_przyszlosc,pyt1_dlugosc,pyt2_dlugosc,pyt3_dlugosc,jezyk
1,58,K,24,biblioteka_publiczna,informatyk,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
2,45,M,35,biblioteka_akademicka,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
3,41,K,2,biblioteka_akademicka,bibliotekarz,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
4,57,K,30,biblioteka_akademicka,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
5,55,K,39,archiwum,katalogujacy,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,Trudno mi teraz odpowiedziec jednoznacznie. To zalezy od konkretnych narzedzi i decyzji instytucji.,99,99,99,pl
6,63,M,29,archiwum,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
7,57,M,21,biblioteka_publiczna,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
8,26,K,33,muzeum,katalogujacy,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
9,45,K,25,biblioteka_publiczna,katalogujacy,"Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.",100,100,100,pl
10,24,M,20,biblioteka_publiczna,katalogujacy,"Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.","Widze pewne zastosowania, ale obawiam sie bledow, utraty kompetencji i braku przejrzystosci decyzji.",100,100,100,pl
11,61,K,32,biblioteka_akademicka,informatyk,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
12,63,M,28,muzeum,informatyk,"Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.","Widze duzy potencjal w automatyzacji rutynowych zadan, lepszym wyszukiwaniu i nowych uslugach dla uzytkownikow.",111,111,111,pl
13,64,K,28,muzeum,inny,"W odniesieniu do pytania: Jakie korzysci widzi Pan/Pani z zastosowania AI w instytucjach kultury? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jakie obawy budzi w Panu/Pani zastosowanie AI w Pana/Pani pracy? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.","W odniesieniu do pytania: Jak wyobraza sobie Pan/Pani swoja instytucje za 5 lat w kontekscie AI? uwazam, ze AI moze wspierac prace, ale powinna pozostac narzedziem kontrolowanym przez ludzi.",191,184,190,pl
